Entity_ID,Default,Transaction_Variance,Supplier_Latency_Norm,Login_Frequency,Total_Revenue,Debt_Ratio,Geo_Location_Score
ENT_0001,0,0.1903025713278926,0.0,0.8336269227280689,0.5227989554837699,0.3928236436876133,0.1748065244338488
ENT_0002,1,0.8021096229652143,0.270370448927365,0.0,0.35736917308928,0.33274657549656994,0.3408490916843163
ENT_0003,0,0.20877792549755297,0.040004805612058505,1.0,0.8654386207292284,0.4064164025202035,0.6836183249699443
ENT_0004,0,0.3413473732017407,0.1007839467647373,0.5527625421930458,0.4884953877513452,0.5361406580234587,0.9231309585678324
ENT_0005,0,0.303762990294988,0.24761951901742543,0.9463416914692733,0.7970632147276258,0.2777254199658053,0.6669087660239568
ENT_0006,0,0.29281862478105763,0.11809163421424612,0.7832800875830876,0.5015865019930056,0.2352856929209985,0.20794890441100888
ENT_0007,0,0.222000669812552,0.22013134130250778,0.9177570534369218,0.3610124348098798,0.47233936038347707,0.9446650638195561
ENT_0008,1,0.833974267324209,0.4515590550312691,0.5936986808724256,0.47686235512525454,0.572577901310008,0.7603418039333262
ENT_0009,0,0.30152943216244676,0.05183902145469758,0.5191632406632114,0.6177407166215476,0.5832614085456825,0.7165437561544412
ENT_0010,0,0.1665718189965375,0.1007291372393775,0.8143190701338243,0.9773818571824593,0.49528610712701215,0.76250661731113
ENT_0011,0,0.4684096733380456,0.17236526330721874,0.8503333781959398,0.5066954147533569,0.31314225324299394,0.6591446908495096
ENT_0012,1,0.6680388570804491,0.5005547956409278,0.061600598692741426,0.4366937562396002,0.625698249763941,0.022112583761142557
ENT_0013,0,0.1919351697446049,0.05456646493117937,1.0,0.8009581684438218,0.39934999923658543,0.25361825963934304
ENT_0014,0,0.18886147526113717,0.09599251811829829,0.8466811391259159,0.8023505300998091,0.1064952321124184,0.9565718399596519
ENT_0015,0,0.24070557933864117,0.01186998934977607,0.9007981610204744,0.6306860773029304,0.1775563262196859,0.2886042800899101
ENT_0016,0,0.22604980779782502,0.12456676456790482,0.6251705915635533,1.0,0.3428620894224159,0.7716264844886526
ENT_0017,0,0.3616833775529954,0.16100106828612806,0.9035926283218427,0.5438878415359297,0.3239315371168711,0.4244839704091298
ENT_0018,0,0.26864161697440464,0.08532330603913414,0.9634256689344585,0.34610735260619646,0.49621928892802813,0.9075277158512304
ENT_0019,0,0.1768368261091472,0.049964130615326924,0.8380352342206769,0.3994889918838569,0.3453086260991211,0.557669054576704
ENT_0020,0,0.4390440685155783,0.10133988089721147,0.7985942662218853,0.5450521021281546,0.1096922927147416,0.6318859968545918
ENT_0021,0,0.25493083315202225,0.10420628490149163,0.6659617812652376,0.9037550010983302,0.21820085314106585,0.23962516750207696
ENT_0022,0,0.3268839675968897,0.08739052492581435,0.7675689623325012,0.562731227570664,0.41145956089032026,0.057523406443117264
ENT_0023,0,0.18917734925552407,0.09226908955013098,0.723195572861108,0.9132104196732276,0.026607660850988146,0.7565562934849605
